Victim,Defendant,Outcome
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,Death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
White victim,White defendant,No death
