Year,GameNum,Opponent,PointsScored,PointsAllowed,Margin
2016,1,Notre Dame,50,47,3
2016,2,UTEP,41,7,34
2016,3,California,43,50,-7
2016,4,Oklahoma State,31,49,-18
2016,5,Oklahoma,40,45,-5
2016,6,Iowa State,27,6,21
2016,7,Kansas State,21,24,-3
2016,8,Baylor,35,34,1
2016,9,Texas Tech,45,37,8
2016,10,West Virginia,20,24,-4
2016,11,Kansas,21,24,-3
2016,12,TCU,9,31,-22
2015,1,Notre Dame,3,38,-35
2015,2,Rice,42,28,14
2015,3,California,44,45,-1
2015,4,Oklahoma State,27,30,-3
2015,5,TCU,50,7,43
2015,6,Oklahoma,24,17,7
2015,7,Kansas State,23,9,14
2015,8,Iowa State,0,24,-24
2015,9,Kansas,59,20,39
2015,10,West Virginia,20,38,-18
2015,11,Texas Tech,45,48,-3
2015,12,Baylor,23,17,6
2014,1,North Texas,38,7,31
2014,2,Brigham Young,7,41,-34
2014,3,UCLA,17,20,-3
2014,4,Kansas,23,0,23
2014,5,Baylor,7,28,-21
2014,6,Oklahoma,26,31,-5
2014,7,Iowa State,48,45,3
2014,8,Kansas State,0,23,-23
2014,9,Texas Tech,34,13,21
2014,10,West Virginia,33,16,17
2014,11,Oklahoma State,28,7,21
2014,12,TCU,10,48,-38
2014,13,Arkansas,7,31,-24
2013,1,New Mexico State,56,7,49
2013,2,Brigham Young,21,40,-19
2013,3,Mississippi,23,44,-21
2013,4,Kansas State,31,21,10
2013,5,Iowa State,31,30,1
2013,6,Oklahoma,36,20,16
2013,7,TCU,30,7,23
2013,8,Kansas,35,13,22
2013,9,West Virginia,47,40,7
2013,10,Oklahoma State,13,38,-25
2013,11,Texas Tech,41,16,25
2013,12,Baylor,10,30,-20
2013,13,Oregon,7,30,-23
2012,1,Wyoming,37,17,20
2012,2,New Mexico,45,0,45
2012,3,Mississippi,66,31,35
2012,4,Oklahoma State,41,36,5
2012,5,West Virginia,45,48,-3
2012,6,Oklahoma,21,63,-42
2012,7,Baylor,56,50,6
2012,8,Kansas,21,17,4
2012,9,Texas Tech,31,22,9
2012,10,Iowa State,33,7,26
2012,11,TCU,13,20,-7
2012,12,Kansas State,24,42,-18
2012,13,Oregon State,31,27,4
2011,1,Rice,34,9,25
2011,2,Brigham Young,17,16,1
2011,3,UCLA,49,20,29
2011,4,Iowa State,37,14,23
2011,5,Oklahoma,17,55,-38
2011,6,Oklahoma State,26,38,-12
2011,7,Kansas,43,0,43
2011,8,Texas Tech,52,20,32
2011,9,Missouri,5,17,-12
2011,10,Kansas State,13,17,-4
2011,11,Texas A&M,27,25,2
2011,12,Baylor,24,48,-24
2011,13,California,21,10,11
