Year,Rating,Category
2004,PG,2000-2005
2002,PG-13,2000-2005
2005,PG-13,2000-2005
2005,PG-13,2000-2005
1996,G,1996-1999
2004,PG,2000-2005
1997,R,1996-1999
1996,R,1996-1999
2002,PG,2000-2005
1997,R,1996-1999
2001,PG-13,2000-2005
2005,PG-13,2000-2005
1998,PG-13,1996-1999
1996,PG,1996-1999
1999,PG-13,1996-1999
2002,PG-13,2000-2005
2002,G,2000-2005
2003,PG,2000-2005
1997,R,1996-1999
1996,PG-13,1996-1999
2003,PG,2000-2005
2005,PG-13,2000-2005
2002,PG-13,2000-2005
2001,R,2000-2005
2005,PG-13,2000-2005
2000,PG-13,2000-2005
1998,PG-13,1996-1999
2003,R,2000-2005
2002,G,2000-2005
2002,PG,2000-2005
2003,PG-13,2000-2005
1999,R,1996-1999
2005,PG,2000-2005
2004,PG-13,2000-2005
2000,PG,2000-2005
1996,PG,1996-1999
2000,PG-13,2000-2005
1999,G,1996-1999
2001,PG-13,2000-2005
1998,PG-13,1996-1999
2000,R,2000-2005
2002,PG-13,2000-2005
2004,PG,2000-2005
1999,PG,1996-1999
2004,PG-13,2000-2005
2001,PG-13,2000-2005
1996,R,1996-1999
1998,G,1996-1999
1996,R,1996-1999
1997,PG-13,1996-1999
2002,PG-13,2000-2005
2004,R,2000-2005
2003,G,2000-2005
1999,PG-13,1996-1999
2002,PG,2000-2005
2003,R,2000-2005
2003,PG,2000-2005
1998,G,1996-1999
2000,R,2000-2005
2004,PG-13,2000-2005
2002,PG-13,2000-2005
2002,PG-13,2000-2005
2001,PG-13,2000-2005
1997,PG-13,1996-1999
2004,PG,2000-2005
1999,PG,1996-1999
2003,PG-13,2000-2005
1999,R,1996-1999
2005,PG-13,2000-2005
1999,PG,1996-1999
2003,R,2000-2005
1998,G,1996-1999
2000,PG-13,2000-2005
1998,PG-13,1996-1999
1999,R,1996-1999
1997,R,1996-1999
1998,PG,1996-1999
1998,PG,1996-1999
1998,R,1996-1999
1997,PG-13,1996-1999
2001,PG-13,2000-2005
2005,R,2000-2005
1996,R,1996-1999
1996,PG-13,1996-1999
2000,R,2000-2005
1999,PG,1996-1999
1996,PG-13,1996-1999
2002,PG,2000-2005
1996,PG-13,1996-1999
1999,PG-13,1996-1999
1996,R,1996-1999
1999,R,1996-1999
1997,G,1996-1999
1997,PG-13,1996-1999
2000,PG-13,2000-2005
2001,PG,2000-2005
2004,G,2000-2005
1997,R,1996-1999
2001,PG,2000-2005
2001,G,2000-2005
2004,PG-13,2000-2005
2000,PG-13,2000-2005
1998,PG,1996-1999
1997,R,1996-1999
2003,PG,2000-2005
1997,R,1996-1999
2005,G,2000-2005
2000,PG-13,2000-2005
1999,R,1996-1999
2005,PG-13,2000-2005
2001,PG-13,2000-2005
2001,PG-13,2000-2005
1997,PG,1996-1999
2002,PG-13,2000-2005
1998,R,1996-1999
1999,R,1996-1999
2000,PG-13,2000-2005
1996,PG,1996-1999
2002,PG-13,2000-2005
2002,PG-13,2000-2005
2003,R,2000-2005
2000,R,2000-2005
1998,PG-13,1996-1999
1997,PG-13,1996-1999
2003,PG-13,2000-2005
2005,G,2000-2005
1999,PG-13,1996-1999
1996,R,1996-1999
1997,PG,1996-1999
2002,PG-13,2000-2005
2004,R,2000-2005
2001,PG-13,2000-2005
2003,PG,2000-2005
1996,R,1996-1999
2000,PG-13,2000-2005
1999,PG,1996-1999
1996,PG,1996-1999
2000,PG,2000-2005
1999,PG-13,1996-1999
2001,PG-13,2000-2005
1998,PG-13,1996-1999
2004,PG-13,2000-2005
2005,PG-13,2000-2005
2000,PG-13,2000-2005
2002,PG-13,2000-2005
2004,PG-13,2000-2005
2000,R,2000-2005
1998,PG,1996-1999
2004,PG,2000-2005
1999,G,1996-1999
2001,PG,2000-2005
1997,PG-13,1996-1999
1998,G,1996-1999
2003,G,2000-2005
1997,G,1996-1999
1997,PG,1996-1999
2000,R,2000-2005
1999,PG-13,1996-1999
1998,PG,1996-1999
2005,PG-13,2000-2005
1999,R,1996-1999
2004,PG-13,2000-2005
2001,PG-13,2000-2005
2004,R,2000-2005
2001,PG-13,2000-2005
2005,R,2000-2005
1996,R,1996-1999
2003,R,2000-2005
2005,PG-13,2000-2005
2002,PG-13,2000-2005
2005,PG,2000-2005
2003,PG,2000-2005
1998,R,1996-1999
2003,R,2000-2005
1997,R,1996-1999
2001,R,2000-2005
2004,R,2000-2005
1996,G,1996-1999
2004,PG,2000-2005
2005,PG-13,2000-2005
2004,PG-13,2000-2005
2000,R,2000-2005
2005,PG,2000-2005
2002,PG,2000-2005
2000,PG-13,2000-2005
2001,PG-13,2000-2005
2005,PG,2000-2005
2003,PG-13,2000-2005
1998,G,1996-1999
2000,PG,2000-2005
2004,PG-13,2000-2005
1996,R,1996-1999
2005,PG-13,2000-2005
1998,R,1996-1999
2001,PG-13,2000-2005
1997,PG,1996-1999
2003,PG,2000-2005
2001,PG-13,2000-2005
1996,G,1996-1999
2003,PG-13,2000-2005
